source,text,researcher,year,aggressive,hate
instagram,Tiraram Dilma do poder e Lula da disputa.,vargas et al,2021,0,0
twitter,@user @user @user agora de novo vai toma no cu,leite et al,2020,0,0
twitter,@user agora só existe em minha memória ,leite et al,2020,0,0
twitter,"RT @user Marcelo disse que se reuniu mais de 100 vezes com Dilma. E ela diz que ele ""insulta a minha honestidade"". Dilma insult _",fortuna et al,2019,0,0
twitter,@user eu to muito puto,leite et al,2020,1,0
twitter,"@user da nada não, a mensagem foi passada kkkkk",leite et al,2020,0,0
twitter,yoongi deve ser tao boiola com o taehyung eu juro pra vcs que eu sou soft por taegi mas eh um outro nivel de softness eu nao consigo nem explicsr ,leite et al,2020,0,0
twitter,@user @user @user @user @user @user @user então o que você sugere?,leite et al,2020,0,0
twitter,"[pôster do filme de tcc que estou produzindo com amigs]
para o filme acontecer, precisamos de grana, mas como somos universitários, não conseguimos arranjar todo o dinheiro sozinhos.
então a ideia foi criar um crowdfunding e contar com a ajuda de vcs 💚
 ",leite et al,2020,0,0
twitter,joguei futebol com o Fabrício,fortuna et al,2019,0,0
twitter,O FACEBOOK CAIU VAMO VOLTAR PRO ORKUT GALERAAA,fortuna et al,2019,0,0
twitter,você vai ser pai — kkkkkk vai toma no cu ,leite et al,2020,1,0
twitter,"comecei a assistir vikings,pqp é muito bom",leite et al,2020,0,0
twitter,fogo nesse filho da puta mano tem que matar esse bosta,leite et al,2020,1,1
twitter,já saiu no meu iptv😍 vou ver hj gostosinho,leite et al,2020,0,0
twitter,puta merda finalmente achei o spiderverse legendado filha da puta,leite et al,2020,0,0
twitter,@user pqp cineminha....,leite et al,2020,0,0
twitter,asco!!!,leite et al,2020,0,0
twitter,sou a mulher mais triste desse site,leite et al,2020,0,0
instagram,"Coitado desse Jão gordo, fracassado.",vargas et al,2021,1,0
twitter,@user isso deve ser um mecanismo do governo local de cessar a procriação.,leite et al,2020,0,0
instagram,😂😂😂😂 #GloboLixo,vargas et al,2021,1,0
twitter,"@user corre ""merdevaldo"" que vai dar ""verda pra você !!!!!",leite et al,2020,0,0
twitter,rt @user se me acha feia hj é pq nunca me viu quando estudava no osório pqp,leite et al,2020,0,0
instagram,#coisanojentasim,vargas et al,2021,1,0
twitter,"RT @user Então, o socialismo produz refugiados. O socialismo não falha. ",fortuna et al,2019,0,0
twitter,vou voltar das férias com no mínimo +4kg,leite et al,2020,0,0
instagram,"Nosso carater, não igualar como os esquerdistas fazem, mais mostrar q somos um povo sivilizado, pronto para ajudar nosso presidente Jair Bolsonaro, Feliz natal a todos!",vargas et al,2021,1,1
twitter,esperando ansiosamente pelo dia que vai acontecer uma mudança dessas na minha vida,leite et al,2020,0,0
twitter,"minha família tem VERGONHA de mim 
tá tendo reforma aqui em casa e meu cachorro fica num cantinho eu tava lá brincando com ele e disse com uma voz de criança ""meu filho tá doido pra cheirar um cu né"" fui repreendida pq falei cu na frente de desconhecidos",leite et al,2020,0,0
twitter,eu tô só eu mesma na minha ft de perfil,leite et al,2020,0,0
twitter,eu juro que queria ser uma pessoa melhor mas não consigo olhar aquilo e não julgar,oliveira et al,2023,0,0
twitter,escola foi legal,oliveira et al,2023,0,0
twitter,difícil,oliveira et al,2023,0,0
instagram,Futuros gestores do Brasil! Avante bolsonaro! Segue o plano,vargas et al,2021,0,0
twitter,morro kkkkkkkk,leite et al,2020,0,0
twitter,"rt @user dizem que mulher gosta de homem engra莽ado, sou palha莽o o tempo todo e estou sozinho vai entender 馃槀馃槀",leite et al,2020,0,0
twitter,@user vai fazer as mãozinhas?,oliveira et al,2023,0,0
twitter,"@user @user irmaozim o son nunca ganhou nem jogo de botão , o park levou tudo , mais de uma vez, jogando muito.",oliveira et al,2023,0,0
twitter,"seria tão bom que toda essa saudade que parece infinita,virasse ódio.",oliveira et al,2023,0,0
twitter,não sei como explicar o tiro que levei link,oliveira et al,2023,0,0
twitter,"Chorando de raiva porque soltaram DE NOVO um vagabundo que ASSASSINOU uma pessoa e estava AMEAÇANDO outras pessoas, até PERSEGUIU uma moça no coral!!! Mas não podem prender ele porque ele está SOLTO LEGALMENTE!!!! QUE MERDA",leite et al,2020,1,0
twitter,"rt @user sou carioca nunca fui no cristo, nunca fui assaltada e nem comi a batata de marechal ",leite et al,2020,0,0
twitter,Pode ter certeza que eu faço muito mais que você. Você acha que lida com os Zé ruela da sua claque. As reportagens estão aí seu burro.,leite et al,2020,1,1
twitter,"vis a vis , série do caralho com nairóbi #netflix",leite et al,2020,0,0
twitter,fui no mercado e esqueci completamente que quem ia ter que pagar tudo sou eu,oliveira et al,2023,0,0
instagram,Parabéns meu querido Haddad. Você é tão capacitado e inteligente...#HADDADMEUFUTUROPRESIDENTE,vargas et al,2021,0,0
twitter,"ai, que tédio 😒
vou assistir alguma coisa",leite et al,2020,0,0
twitter,@user @user Seu professor MARXISTA (sua capa fora Temer diz tudo) te doutrinou melhor que o prof. da escola dominical,fortuna et al,2019,0,0
twitter,RT @user @user seria mais preconceituoso se ele dissesse que as loiras são nordestinas.,fortuna et al,2019,0,0
instagram,Acho pouco quem mandou votar,vargas et al,2021,0,0
twitter,"RT @user A PSP interceptou o q julgavam ser um automóvel sem condutor em excesso de velocidade,apurou-se mais tarde q ao volante ia _",fortuna et al,2019,0,0
twitter,"Uma das piores palavras de se perder na vida : avós. Tem 3 anos que não sei o que é falar isso e dói pra caralho

Os paternos convivi pouco
Os maternos, por ser o terceiro neto mais velho, vivi demais...o dia mais triste foi quando eu perdi minha avó, mãe da mãe, que dia",leite et al,2020,0,0
twitter,"o legal 茅 que no whats conversa e pessoalmente naokkkkkkkkkkkkkkkkkkk

vcs ouvem meus choros?",leite et al,2020,0,0
twitter,"Duas evidências! Consequência: volta para tua casa, faz boa viagem!
#ImigraçãoInvasora #Islão
@user ",fortuna et al,2019,1,1
twitter,quem não ta torcendo pro butler ou pro jokic é mal caráter.,oliveira et al,2023,0,0
twitter,"única criança q eu olho é minha afilhada e pq a mãe trabalha, pq se n nem olharia, então nem perde tempo me pedindo p olhar pq n olho, nem pagando rsss",oliveira et al,2023,0,0
twitter,rt @user ahahahah!...um acordo de cavalheiros? que cavalheiros? podem escroques criminosos ser cavalheiros?... ,leite et al,2020,0,0
twitter,se fosse o mito cuspindo no jean seria homofobia né,fortuna et al,2019,0,0
twitter,"rt @user bota tudo lá dentro maltrata minha xota, tira bota na boca vai filha da puta soca",leite et al,2020,1,0
twitter,rt @user o erro do jovem é deixar pra estudar um dia antes da prova,leite et al,2020,0,0
twitter,@user @user mlk desgraçado kkkkkkkkkkk,leite et al,2020,0,0
twitter,"que ódio desse rapaz crítico de cinema e gostoso, quero ver ele falar do livro que escreveu mas também quero calar a boca dele com a minha",oliveira et al,2023,0,0
twitter,"[8/2/19, 11:33:36 PM] Meu Denguin: muito falsa
[8/2/19, 11:34:51 PM] Sara: mentiu feio
[8/2/19, 11:35:00 PM] Meu Denguin: ata pô
[8/2/19, 11:40:40 PM] Meu Denguin: ""Anjo imaculado de deus*""

ok",leite et al,2020,0,0
twitter,porra de povo evoluído.. e dá-le amor porque é isso o que importa.,leite et al,2020,0,0
twitter,"Quando acabarem de ler o novo livro do Cavaco, recomendo também este! ",fortuna et al,2019,0,0
twitter,caralho gostosa la vai piroca...,leite et al,2020,1,0
twitter,rappi por favor me da créditos,leite et al,2020,0,0
instagram,Maravilhosos,vargas et al,2021,0,0
twitter,eu sou muito diabo vermelho nessa porra,leite et al,2020,0,0
twitter,"ah droga, agora eu quero um pão de queijo",leite et al,2020,0,0
twitter,recebi hoje to igual pinto no lixooo,leite et al,2020,0,0
twitter,"rt @user mano, da onde saiu esse frio da porra?",leite et al,2020,0,0
twitter,"@user aproveite por mim, estagiário hoje fica até às 23h na labuta ☹️",leite et al,2020,0,0
twitter,"@user nosso país já tem inúmeros órgãos governamentais para combater a corrupção. a criação de um novo braço para tal, é no mínimo suspeito.",oliveira et al,2023,0,0
twitter,RT @user EU TO MIJANDO DE RIR DESSES TWEETS KFHSKFJHRKSBFKEHDKR MELHOR PÁGINA @user,fortuna et al,2019,0,0
twitter,chamar a thaís igual eu chamei a tia boca de sacola,oliveira et al,2023,1,1
twitter,fachero ?? link link,oliveira et al,2023,0,0
twitter,RT @user gente lembrem-se de colocar 2 forros no travesseiro hj pra não encharcar a cama com lágrimas boa noite,fortuna et al,2019,0,0
twitter,@user to c problema no wpp caraio,leite et al,2020,0,0
twitter,Esse garoto passa esse video da Lana umas mil vezes por dia meu pai amado e eu assisto as mil vezes porque nunca satura.,leite et al,2020,0,0
twitter,apaguei o tweet pra corrigir e agora perdi o filho da puta que raiva que raiva que raiva,leite et al,2020,1,0
twitter,"esqueci a porra do óculos dnv,  passar o dia todo com dor de cabeça",leite et al,2020,0,0
twitter,"10k nessa fancam até amanhã, eu tenho fé
",leite et al,2020,0,0
instagram,Queridos! 👏👏👏 bom ver gente boa juntos!!,vargas et al,2021,0,0
twitter,"Gorda, feia, e ogra ",fortuna et al,2019,1,1
twitter,"hoje eu acordei tão pra baixo, vontade de chora toda hora. 😔😔😔😔",leite et al,2020,0,0
twitter,me diz ai,leite et al,2020,0,0
twitter,"rt @user porra, mesmo... não sei como é que gostam disso 🤢 ",leite et al,2020,0,0
instagram,Sem vergonha,vargas et al,2021,1,0
twitter,"graças aos ceus essa foto em grupo tá boa, lindona link",oliveira et al,2023,0,0
twitter,agora: pix do nubank fora do ar link,oliveira et al,2023,0,0
twitter,"Um rapper se questionando na gringa o porquê não ter tanto artista Gay no rap nacional.
Meu querido, no hiphop nacional tem todas as siglas sendo bem representada.
Quando você abaixar a porra do seu nariz, você vai conseguir olhar pro underground e nos enxergar.",leite et al,2020,1,1
twitter,títulos com quebra pau,leite et al,2020,0,0
twitter,"minha roupa não ficou boa, sou feia, não vou mais pro show pronto",leite et al,2020,0,0
twitter,"meu pai comprou remédio e chocolate p mim, to tão feliz",leite et al,2020,0,0
twitter,nunca consegui passar por essa temporada link,oliveira et al,2023,0,0
twitter,@user @user amo muito eles puta merda #mpn #nowunited #uniters,leite et al,2020,0,0
twitter,"Tenho um gosto completamente diferente de algumas pessoas da minha idade slc .. pessoal “noooossa tal coisa foi super fodaax que loucooo, vc é zika” eu só fico “mdss que doente, olha o perigoooo .. nao pensa nos pais mesmo, retardado” kkkkkkkk isso q é foda",leite et al,2020,0,0
twitter,"esse é o ponto crucial… qual é a sua contribuição para o festival? isso não me fará melhor do que ninguém, porém, minha parte eu faço desde os 14 anos de idade. estás dando aula @user ???? link",oliveira et al,2023,0,0
twitter,to indo no mercado querem alguma coisa? ,leite et al,2020,0,0
instagram,Vejo este momento como uma representatividade necessária...viva!!!,vargas et al,2021,0,0
twitter,@user que porra é essa ? mdsss,leite et al,2020,0,0
twitter,é eu olhar pra tela do meu celular q quero chorar,leite et al,2020,0,0
twitter,viciado demais na música da yasmin com a marília pqp,leite et al,2020,0,0
twitter,amanhã quero comer um temakinho,oliveira et al,2023,0,0
twitter,@user @user @user @user @user @user @user @user @user @user @user @user @user @user cassação do dallagnol hoje! #deltancassado já,oliveira et al,2023,0,0
twitter,@user volta a falar de cu....馃檮,leite et al,2020,0,0
twitter,rt @user jogar bola na praia bêbadas em guarapari @user @user @user @user ,leite et al,2020,0,0
twitter,esse daqui eh daqueles cara que procura travesti pra come o cu dele no sigilo pq tem tesao em mulher de pinto n tenho nem medo de fala ,leite et al,2020,1,1
twitter,rt @user @user james tava tendo um gay panic por dentro certeza caralho olha como o liam é lindo n tem como ,leite et al,2020,0,0
twitter,"Quando repõem a estátua de D.Sebastião na #EstaçãoRossio?
Consequências para o selvagem autor do vandalismo?
Fica t _ ",fortuna et al,2019,0,0
twitter,"@user é lindo, mas não tenho cuidado e nem dinheiro pra isso 😪",leite et al,2020,0,0
instagram,Haddad♥👏👏👏👏,vargas et al,2021,0,0
instagram,Bandido,vargas et al,2021,1,0
twitter,a verdadeira meta viado,leite et al,2020,1,1
twitter,gente como eu pego o video de um tweet que nao tem nada escrito no android?,leite et al,2020,0,0
twitter,@user eu nem vejo qm vê meu stories kkkk de vez em quando do uma olhada nas curtidas kkk,oliveira et al,2023,0,0
instagram,"Você precisa e voltar para cadeia para que povo onrrado concerto o país que você derrui sim temo que seguir o exzemplo do povo da Bolívia te expulsar do país, embusteiros de merda kkk",vargas et al,2021,1,0
twitter,rt @user eu nem aos meus amigos fazia isto imagina a minha mãe wtf ,leite et al,2020,0,0
twitter,"Em meio a escândalos de corrupção e nepotismo, o presidente de Angola anunciou que não tentará reeleição em 2017.... ",fortuna et al,2019,0,0
twitter,RT @user bicho me senti muito burra só ouvindo essa mulher falar #MasterChefBR,fortuna et al,2019,0,0
twitter,que sdd da minha tandara porradeira porra,leite et al,2020,0,0
twitter,ou vai ser muito bom ou vai ser muito ruim,oliveira et al,2023,0,0
twitter,rt @user se as dominicanas perderem 茅 s贸 pq ela se desconcentram tirando o shortinho do cu,leite et al,2020,1,1
twitter,@user de nada amore. bem vindo ao meu perfil.,leite et al,2020,0,0
twitter,@user estou com pena... mentira!????????,oliveira et al,2023,0,0
twitter,"nossa eu to em um nível de estresse por não ter dormido, que posso descontar em qualquer um, preciso dormir quando chegar",oliveira et al,2023,0,0
twitter,passando mal e pensando no lanche q minha mãe disse que vai comprar mais tarde,leite et al,2020,0,0
twitter,@user vcs colocam negócio racial em tudo pqp,leite et al,2020,0,0
twitter,"@user @user @user SÓ drogado noiado,não vão convidar a escrava Isaura, não perceberam que hoje vcs artistas defensores do socialismo viraram chacota,não influenciam ninguém além da turminha insana ,não tem efeito na maioria do povo os protestinhos seus hipócritas.",leite et al,2020,1,1
twitter,mais um dia com ódio do capitalismo.,oliveira et al,2023,1,0
twitter,rt @user kkkkkkkkkk só coisinhas leve ,leite et al,2020,0,0
twitter,"lindo de morrer, até usando essa roupa horripilante link",oliveira et al,2023,1,0
twitter,@user fdp do caralho mano ,leite et al,2020,1,1
twitter,"É sério eu não sei o que é pior na minha vida vey 
Ser pobre ou ser pobre gorda e feia??!!",fortuna et al,2019,1,1
twitter,@user é consta... a dor de cotovelo tá te deixando burro hein?,leite et al,2020,1,1
twitter,"@user @user vamo! não nesse dia, mas eu devo ir ao rj em breve!",oliveira et al,2023,0,0
instagram,E a esquerdalha PIRA..🤣😂😄😂😂🤣,vargas et al,2021,1,1
twitter,"namoral eu amo a minha mãe e tal mas as vezes eu quero mandar ela tomar no cu em 4h de interação ela conseguiu falar mal da minha roupa, do meu cabelo, e da minha cara
DE GRAÇA 
EU NEM PERGUNTEI
quem eh q guenta papai amado",leite et al,2020,1,0
twitter,"@user puta merda, não creio",leite et al,2020,0,0
twitter,@user é aquela faca fade? q são várias cores e muda dependo do ângulo?,oliveira et al,2023,0,0
twitter,essa querida aqui já eh brasileira honorária link,oliveira et al,2023,0,0
instagram,Lamentável a sua mudança de postura.😢@user .,vargas et al,2021,0,0
twitter,@user Quer dizer que hackers do interior hackearam e adulteraram msgs que não mostravam nada de errado para atacar o Moro? Parece lógico que é verdade! sqn kkkkkkk,leite et al,2020,0,0
twitter,é cada role aleatório que eu arrumo pqp,leite et al,2020,1,0
twitter,"@user @user @user mds, novamente, porra novamente, nada novo, nada muda. a mesma emoção, sempre o mesmo",leite et al,2020,1,0
twitter,"O PNR e o Dia de Portugal

#RenovarPortugal #PNR #Portugal ",fortuna et al,2019,0,0
instagram,🙌 graças a Deus,vargas et al,2021,0,0
instagram,To achando que vc tomou um fora dele!! Essas suas atitudes são de amor não correspondido.,vargas et al,2021,1,1
twitter,@user chupa seus idiota é vcs fazendo conta com dinheiro de sorvete q o bolsonaro gastou com crianças carentes .,oliveira et al,2023,1,1
twitter,eu cou cometer suicídio link,oliveira et al,2023,1,0
twitter,@user kkkkkkkkkkkk o plot twist anos depois cara q ódio,oliveira et al,2023,0,0
twitter,"Caso contrário eu vou embora mesmo, sei q minha saúde mental vai fuder bastante também, mas pelo menos eu vou estar no curso q eu quero, e é BEM melhor q estar no cursinho, vou ter minha independência também, vou sentir saudades de todos, mas estarei correndo atrás do meu futuro",leite et al,2020,0,0
twitter,"@user tem que prender e fazer falar. prender e ficar de ""pica sonsice"" não vai adiantar.",leite et al,2020,0,0
twitter,"é como diz o ditado
a liberdade canta pra quem o pt espanta ",fortuna et al,2019,0,0
twitter,"Era meu sonho! 
Principalmente trabalhar no centro do RJ pois seria muito parecido com os filmes... Eu quase me matei tive diversas crises, empresa merdq, faculdade e casa eram longe e o trânsito um cu, trem/metrô pior ainda e mais caro, totalmente frustada eu.",leite et al,2020,0,0
twitter,eu to feliz dmssss,leite et al,2020,0,0
twitter,faz o elle porra link,oliveira et al,2023,1,1
instagram,A cara dessa criatura... Olha vem na cara dessa criatura e já dá pra saber quem isso é...,vargas et al,2021,1,0
twitter,@user Não percebo porque dão tempo de antena a uma tola qualquer. Não há mais notícias para dar? A sério eu também queria a praia sem alguns tipos de pessoa mas não dá 😂,leite et al,2020,0,0
twitter,rt @user leitando esse puto @user @user ,leite et al,2020,1,0
twitter,"eu deixando as pessoas falando sozinha: ah gente eu n to em mood de conversar sabe n eh por mal ok? ngm deve cobrar resposta de ngm
eu sendo deixada falando sozinha: *ataque de ansiedade* AÍ MEU DEYS esta pessoa claramente me odeia pq eu sou um lixo",leite et al,2020,0,0
twitter,cara to tao feliz vou papocar,oliveira et al,2023,0,0
twitter,@user @user tomara que hj n seja igual,leite et al,2020,0,0
twitter,@user amo vocês porra 💜💜💜💜💜💜💜💜💜💜💜💜,leite et al,2020,0,0
twitter,"E morre a fauna e não se ouve
O sabiá cantando!
E morre a flora e não se vê
A flor desabrochando!
E não se escuta mais o ronco
Daquela cascata!
É o fim da água, é o fim da vida,
Nêgo tá matando a mata! (Arnaud Rodrigues )",leite et al,2020,0,0
twitter,@user @user poucas vezes na minha vida eu senti tanto ódio como nesse dia,oliveira et al,2023,0,0
twitter,foda link,oliveira et al,2023,0,0
twitter,"eu não faço questão de ms porra nenhuma, fé",leite et al,2020,0,0
twitter,@user @user você é apenas mais um corno apaixonado.. jamais irá acreditar que seu mito te traiu…,oliveira et al,2023,1,1
twitter,eu to muito sapatao scrr,fortuna et al,2019,1,1
twitter,"O amigo do meu vô chegou aqui no portão e falou ""o pia vamo lá"", até meu vô tem amigos vindo chamar ele pra rolê e eu aqui doente e limpando a casa kkkkkkkk",leite et al,2020,0,0
twitter,"@user dessa coletânea de ""lendas"" tem, além do Carpenter, o Cronenberg e o Romero, com um Rob Zombie bem destoado. que vontade de salvar algumas, mas não há momento pior pra mim :( ",leite et al,2020,0,0
twitter,"O estado da Justiça em Portugal

#PNR #RenovarPortugal",fortuna et al,2019,0,0
twitter,"@user @user não,o que o bolsonaro fez foi diminuição de impostos através de 1 pl e pec,foi a pec q diminuiu o teto do icms pra 17% e outra que permitia os estados diminuirem até 0% o icms,sendo a diferença compensada pelo governo federal.a petrobras continuou lucrando igual",oliveira et al,2023,0,0
twitter,@user @user @user @user serio bixo ? pelo amor de deus cara os aliados da china e da rússia ?? seis viajam demais em comunistas kkkkkkkkkkkkkkkkkk link,oliveira et al,2023,0,0
instagram,"E pirralha sim! Insignificante, igual seus posts!!",vargas et al,2021,1,0
twitter,"@user sim!!! eu to falando da bella mesmo, ela tem essa cara sempre",leite et al,2020,0,0
twitter,que frio é esse puta q pariu,leite et al,2020,0,0
twitter,uma verdadeira diva nee,leite et al,2020,0,0
twitter,as vezes eu paro para pensar que eu fui para itália com duas amigas… parece que foi um sonhooo ????,oliveira et al,2023,0,0
twitter,"@user EXATAMENTE, ESTA A ANOS-LUZ...NEM SE MARCOS ROCHA JOGAR ATÉ OS 90 ANOS, ELE CHEGA A 10% DO QUE O DANI ALVES JOGA OU CONQUISTA  OQ ELE CONQUISTOU!",leite et al,2020,0,0
twitter,"terça feira e meu pai ja me tirou do sério, vontade bateu enorme de ir embora, de verdade",oliveira et al,2023,0,0
twitter,"pública. trabalho era uma outra coisa. por isso, nesse episódio do humanizei cast falo um pouco de como é estar na pós, sobre as possibilidades de empregabilidade, sobre o cotidiano da pós, quanto ganhamos como bolsistas e sobre meus sonhos (pois sonhar é essencial também).",oliveira et al,2023,0,0
twitter,@user foda,oliveira et al,2023,0,0
twitter,"RT @user @user @user @user isso pra mim é irrelevante, queria pegá-lo mentindo, e consegui",fortuna et al,2019,0,0
twitter,"RT @user Nunca, como agora, a produção literária nacional esteve tão activa.
Yronicamente ",fortuna et al,2019,0,0
twitter,"@user meu deus do céu, tem gente que não tem senso do ridículo",leite et al,2020,0,0
twitter,sair mais cedo da escola i fumar camelzinho de canela hmm,oliveira et al,2023,0,0
twitter,meu deus mano que ódio que ódio que ódio.,oliveira et al,2023,0,0
twitter,"fazer café da manhã pra mim, é top 1 coisas que me deixam boiolinha",oliveira et al,2023,0,0
twitter,"#ATENÇÃO

Tem uma informação circulando que a #China vai decretar lei marcial e colocar tanque nas ruas de #HongKong. Aguardando se confirmar.",leite et al,2020,0,0
twitter,fui dormir tarde p caralho assistindo série com o vinícius,leite et al,2020,0,0
twitter,eu to me sentindo um lixo pois esqueci a senha da vida que tenho com élida meu deus do céu,leite et al,2020,0,0
twitter,kkkkkkkkkkkkk deus me livre ffc,leite et al,2020,0,0
twitter,"Filha zé droga, ex-marido traficante, cunhado pedófilo. Essa são as pessoas que rodeiam @user deputada q _ ",fortuna et al,2019,0,0
twitter,"que ódioooooooooooooo 
filho da putaaaaaaaaaaa",leite et al,2020,1,0
twitter,"rt @user @user vomitando em grupo, own",leite et al,2020,0,0
instagram,Não ia ser sem viés ideologico?,vargas et al,2021,0,0
twitter,"mano, como pode eu passar o dia todo deitada quietinha e meu coração a 124 bpm😡😡😡😡",leite et al,2020,0,0
instagram,Irei ver com certeza 👍🏻,vargas et al,2021,0,0
twitter,@user @user @user kkkk que ódio dessa referência.,oliveira et al,2023,0,0
twitter,@user @user achei lindo o do amazonas,oliveira et al,2023,0,0
instagram,Um oásis em meio ao caos 👏👏👏👏👏 lindíssima,vargas et al,2021,0,0
twitter,"cara olha a tapa na cara 
amo",leite et al,2020,0,0
twitter,@user vai p crl idiota,leite et al,2020,1,1
twitter,vei... q ridículo,leite et al,2020,0,0
twitter,Rei do Baião e ídolo da música nordestina morreu de pneumonia aos 76 anos. Luiz Gonzaga foi o primeiro artista a fazer uma turnê pelo Brasil em cima de um caminhão. Relembre na #ColunaMemória:  #GloboNews #Edicao10,leite et al,2020,0,0
twitter,@user kkkkkk eles começaram a rir e devem ter pensado “pqp jk falou merda” 😂,leite et al,2020,0,0
twitter,"Minha sobrinha 👶🏻 de 1 ano e meio viu o Bolsonaro na TV e disse ""tio, não gosto dele"". Perguntei o motivo e ela respondeu:

""Estamos em lados opostos ideologicamente falando, mas destacaria o autoritarismo, o discurso fascista a agenda econômica cruel com os mais pobres"" 

😍😍😍",leite et al,2020,0,0
twitter,"que calor é esse mermao?

a deve ser o meu fogo no cu",leite et al,2020,1,0
twitter,18 anos perdi foi varios amigo ??????,oliveira et al,2023,0,0
twitter,puta q pariu todo jogo de vôlei eu fico nervosa,leite et al,2020,0,0
instagram,Pirralha,vargas et al,2021,1,0
twitter,frio e lixo na rua 🥶🥶,leite et al,2020,0,0
twitter,eu queria ter mtmtmmtmtmtmmt dinheiro e estar viajando agora mesmo,leite et al,2020,0,0
twitter,cara pelo amor amooooor de deeeeeus,oliveira et al,2023,0,0
twitter,tem que morrer,leite et al,2020,1,0
instagram,"Os caras não prendem bandido, ladrão e assassino e agora vão prender quem compartilha fake news?! Isso ai é para rir estou imaginando o julgamento 200 instâncias e aí depois o STF kkkkkk esse país da desgosto, melhor dizendo é um esgoto",vargas et al,2021,1,0
twitter,"馃嚙馃嚪馃嚙馃嚪馃嚙馃嚪 Brazil鈥檚 AMAZING Max Booty 馃崙@user 

I just wanted a boy now to fuck my ass so much馃槇馃崋

S贸 queria um macho pra fuder meu curr铆culo bem gostosinho馃槇

Definitely @user approved 馃敟馃敟馃敟馃敟馃敟馃敟馃敟

Subscribe 猬囷笍猬囷笍
 ",leite et al,2020,1,0
twitter,"Não costumo considerar tanto vitórias como estatística de QB mas isso me chamou atenção. Vamos ver quem acerta o segundo desde 2016:

1- Brady 35
2- ________ 32 
3- Brees/Roethlisberger 31",leite et al,2020,0,0
twitter,"to comendo mt, misericórdia ??",oliveira et al,2023,0,0
twitter,"@user @user quem tá falando bosta é você, não entende porra nenhuma de futebol, o q eu falei é um fato, e vc vem falar de luxemburgo e felipão, hoje o melhor técnico do brasil é o abel ferreira disparado, com 12 títulos em menos de 3 anos, não tem o q falar fica calado mongolóide",oliveira et al,2023,1,1
twitter,"#RTP Angola é bom mas não tem nota e economia, política muito baixo, Portugal também mas é mais seguro e flexível dos dois.",fortuna et al,2019,0,0
twitter,"@user sim, a galera taca o pau se a levantadora errar e tipo às vezes não é culpa dela, a bola veio baixa, nem dá pra fazer muita coisa, sempre assim, uó esse povo que não aceita que a fav erra e tals",leite et al,2020,0,0
twitter,fdp não responde 😒,leite et al,2020,1,0
twitter,am茅m caralho,leite et al,2020,1,0
twitter,"@user pois é, bolsonaro arrumou a casa e entregou pro lula. agora o lula vai destruir tudo em 4 anos e entregar o país quebrado pro próximo presidente, que tomara deus, seja bolsonaro novamente.",oliveira et al,2023,1,1
twitter,@user tem que mandar pra cadeia esse tal de deltan e um certo vagabundo chamado sérgio moro!,leite et al,2020,1,1
twitter,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK FICOU FUDIDO ,leite et al,2020,0,0
twitter,sofro nas mãos do meu novivo puto e meu filho que só sabe rir de mim,leite et al,2020,1,0
twitter,"hj eu fiz molho branco sem receita e modificando pro meu gosto e puta que pariu, o melhor que já fiz e comi",leite et al,2020,1,0
twitter,"@user o querida pq cuidar da vida dos outros sendo que a sua já não e nada fácil,vcs estão aí p trabalhar ou ficar cuidando do bolsonaro",oliveira et al,2023,1,1
instagram,parabéns! 😍😍,vargas et al,2021,0,0
instagram,Quem conhece as Escolas militares sabe o valor que elas tem na formação de nossos jovens.,vargas et al,2021,0,0
twitter,o bom de estar fazendo 2 estágios é que n me sinto mais improdutiva a tarde,oliveira et al,2023,0,0
twitter,"achei uma foto minha e da renata pequena, ela era a cara do ricardo kkkkkkkkk",leite et al,2020,0,0
twitter,@user só puta curte isso man kkk,leite et al,2020,1,1
twitter,@user @user esse é o capeta,oliveira et al,2023,0,0
twitter,é da sarocha é da sarochaaaaaaaaaaaaaaaaaaaaaaaaaaa,oliveira et al,2023,0,0
twitter,"tocando e cantando ""silêncio"" link",oliveira et al,2023,0,0
twitter,a fila parou de novo,oliveira et al,2023,0,0
twitter,rt @user necessito urgentemente voltar a esse lugar❤️ ,leite et al,2020,0,0
twitter,@user @user aparentemente vc tem mta necessidade de vir falar isso pra mim e agora ja falou pode parar né,fortuna et al,2019,0,0
twitter,nao tava entrando no twitter pq eu estava perdendo tempo vivendo #V1D4L0K4,fortuna et al,2019,0,0
instagram,Vamos encher o congresso de militares!! Partiu!! 🇧🇷😝😝😝,vargas et al,2021,0,0
twitter,ódio de empresta dinheiro pro soutro tnc não paga nunca,oliveira et al,2023,0,0
twitter,"""Ritxar Bacete afirma que não há mudança porque os homens não estão interessados em igualdade""  via @user",fortuna et al,2019,1,1
twitter,A fdp não come carne e quer q vc tb não coma. Chupar meu pau ela não quer,fortuna et al,2019,1,1
twitter,só diz que é minha em cima da cama,oliveira et al,2023,0,0
instagram,Tem que abrir processo disciplinar por quebra de decoro na forma do regimento. Pelo vandalismo e pelo ato de racismo.,vargas et al,2021,0,0
